Ticket_ID,Customer_ID,Agent_ID,Created_Date,Resolved_Date,Category,Priority,Satisfaction_Rating
T001,C101,A01,2024-01-03 09:00:00,2024-01-03 14:30:00,Billing,High,4
T002,C102,A02,2024-01-03 10:15:00,2024-01-04 11:00:00,Technical,Critical,3
T003,C101,A01,2024-01-05 08:00:00,2024-01-05 09:45:00,Billing,Low,5
T004,C103,A03,2024-01-06 13:00:00,2024-01-08 10:00:00,Technical,Critical,2
T005,C104,A01,2024-01-07 11:30:00,2024-01-07 16:00:00,General,Medium,4
T006,C102,A02,2024-01-08 09:00:00,2024-01-08 17:30:00,Billing,High,3
T007,C105,A03,2024-01-09 14:00:00,2024-01-11 09:00:00,Technical,Critical,1
T008,C101,A01,2024-01-10 10:00:00,2024-01-10 11:30:00,General,Low,5
T009,C106,A02,2024-01-10 15:00:00,2024-01-12 14:00:00,Technical,High,2
T010,C103,A03,2024-01-11 08:30:00,2024-01-11 16:00:00,Billing,Medium,4
T011,C107,A01,2024-01-12 09:00:00,2024-01-12 10:15:00,General,Low,5
T012,C104,A02,2024-01-13 11:00:00,2024-01-15 09:30:00,Technical,Critical,2
T013,C108,A03,2024-01-14 08:00:00,2024-01-14 12:00:00,Billing,Medium,3
T014,C101,A01,2024-01-15 10:30:00,2024-01-15 11:00:00,General,Low,5
T015,C109,A02,2024-01-16 13:00:00,2024-01-18 16:00:00,Technical,High,1
T016,C110,A03,2024-01-17 09:00:00,2024-01-17 14:30:00,Billing,High,4
T017,C102,A01,2024-01-18 08:00:00,2024-01-18 09:00:00,General,Low,5
T018,C111,A02,2024-01-19 14:30:00,2024-01-22 11:00:00,Technical,Critical,2
T019,C103,A03,2024-01-20 10:00:00,2024-01-20 15:30:00,Billing,Medium,3
T020,C112,A01,2024-01-21 09:00:00,2024-01-21 13:00:00,General,Medium,4